premise,hypothesis,label,explanation_1,explanation_2,explanation_3,premise_highlighted_1,hypothesis_highlighted_1,premise_highlighted_2,hypothesis_highlighted_2,premise_highlighted_3,hypothesis_highlighted_3,premise_marked_1,hypothesis_marked_1,premise_marked_2,hypothesis_marked_2,premise_marked_3,hypothesis_marked_3,highlighted_premise_all,highlighted_hypothesis_all
"One tan girl with a wool hat is running and leaning over an object, while another person in a wool hat is sitting on the ground.",A boy runs into a wall,2,There are either two people - a girl and another person - or there is a boy.,A boy is not a tan girl.,"The person is either a girl or boy, not both",,,,,,," One tan *girl* with a wool hat is running and leaning over an object, while another *person* in a wool hat is sitting on the ground.",A *boy* *runs* into a wall," One *tan* *girl* with a wool hat is running and leaning over an object, while another person in a wool hat is sitting on the ground.",A *boy* runs into a wall," One tan *girl* with a wool hat is running and leaning over an object, while another person in a wool hat is sitting on the ground.",A *boy* runs into a wall,"girl,person,tan","runs,boy"
3 young man in hoods standing in the middle of a quiet street facing the camera.,Three people sit by a busy street bareheaded.,2,One cannot be standing and sitting at the same time. There can either be a quiet street or a busy street.,People can not sit and be standing simultaneously while being in hoods means they are not bareheaded.,There cannot be a quiet street and busy street at the same time.,,,,,,,3 young man in hoods *standing* in the middle of a *quiet* *street* facing the camera.,Three people *sit* by a *busy* *street* bareheaded.,3 young man *in* *hoods* *standing* in the middle of a quiet street facing the camera.,Three people *sit* by a busy street *bareheaded.*,3 young man in hoods standing in the middle of a *quiet* *street* facing the camera.,Three people sit by a *busy* *street* bareheaded.,"in,standing,hoods,quiet,street","bareheaded,street,sit,busy"
"The two young girls are dressed as fairies, and are playing in the leaves outdoors.",Two girls play dress up indoors.,2,The girls cannot be playing outdoors and indoors a the same time.,The girls cannot be outdoors and indoors simultaneously.,The girls cannot be playing in leaves outdoors if they are indoors as leaves typically remain outdoors.,,,,,,," The two young girls are dressed as fairies, and are playing in the leaves *outdoors.*",Two girls play dress up *indoors.*," The two young girls are dressed as fairies, and are playing in the leaves *outdoors.*",Two girls play dress up *indoors.*," The two young girls are dressed as fairies, and are playing in the leaves *outdoors.*",Two girls play dress up *indoors.*,outdoors,indoors
"Three people sit on a bench at a station, the man looks oddly at the two women, the redheaded women looks up and forward in an awkward position, and the yellow blond girl twiddles with her hair.",Some people stand around.,2,The people either sit or stand.,People can either sit or stand.,people can't stand if they sit,,,,,,," Three people *sit* on a bench at a station, the man looks oddly at the two women, the redheaded women looks up and forward in an awkward position, and the yellow blond girl twiddles with her hair.",Some people *stand* around.," Three people *sit* on a bench at a station, the man looks oddly at the two women, the redheaded women looks up and forward in an awkward position, and the yellow blond girl twiddles with her hair.",Some people *stand* around.," Three *people* *sit* on a bench at a station, the man looks oddly at the two women, the redheaded women looks up and forward in an awkward position, and the yellow blond girl twiddles with her hair.",Some *people* *stand* around.,"sit,people","stand,people"
A child wearing a red top is standing behind a blond headed child sitting in a wheelbarrow.,A child wearing a red top is standing behind a blond headed child,0,A blond headed child sitting in a wheelbarrow is a blond headed child.,Child is standing next to a child sitting,A child wearing a red top standing behind a blond child is rephrased.,,,,,,, A child wearing a red top is standing behind a *blond* *headed* *child* sitting in a wheelbarrow., A child wearing a red top is standing behind a *blond* *headed* *child*, A child wearing a red top is standing behind a blond headed child *sitting* in a wheelbarrow., A child wearing a red top is *standing* behind a blond headed child, A *child* *wearing* a *red* *top* *is* *standing* *behind* a *blond* headed *child* sitting in a wheelbarrow., *A* *child* *wearing* a *red* *top* *is* *standing* *behind* a *blond* headed *child*,"red,sitting,top,is,standing,child,wearing,blond,behind,headed","red,A,top,is,standing,child,wearing,blond,behind,headed"
A woman within an orchestra is playing a violin.,A man is looking in a telescope.,2,orchestra and the telescope cannot be in the same place and hence the man and the women.,A man playing a violin cannot be looking in a telescope.,"It can be either a man or a woman, and they can be playing either a violin or looking at a telescope.",,,,,,,A *woman* within an *orchestra* is playing a violin.,A *man* is looking in a *telescope.*,A woman within an orchestra is *playing* *a* *violin.*,A man is *looking* *in* *a* *telescope.*,A *woman* within an orchestra is playing a *violin.*,A *man* is looking in a *telescope.*,"violin,woman,orchestra,playing,a","looking,in,telescope,a,man"
A crowd of people looking up at 3 people on the edge of the roof of a building.,Three people are climbing down the ladder on the building.,2,People cannot be on the edge of the roof of the building and climbing down the ladder simultaneously.,A crowd of people looking up is not the same as three people climbing down.,"If a person is looking up, they wouldn't be able to be climbing down from anything.",,,,,,,A crowd of people looking up at 3 *people* *on* the *edge* *of* the *roof* of a building.,Three *people* are *climbing* *down* the *ladder* on the building.,*A* *crowd* of people *looking* *up* at 3 people on the edge of the roof of a building.,*Three* *people* are *climbing* *down* the ladder on the building.,A crowd of people *looking* *up* at 3 people on the edge of the roof of a building.,Three people are *climbing* *down* the ladder on the building.,"looking,crowd,A,roof,on,up,edge,people,of","climbing,ladder,people,Three,down"
A large number of people wearing only white and red are walking on a street.,A large number of people wearing black walking down the street.,2,"White and red, and black are different.",White and red are different from black.,People are wearing black or white and red.,,,,,,,A large number of people wearing only *white* *and* *red* are walking on a street.,A large number of people wearing *black* walking down the street.,A large number of people wearing only *white* and *red* are walking on a street.,A large number of people wearing *black* walking down the street.,A large number of *people* *wearing* *only* *white* *and* *red* are walking on a street.,A large number of *people* *wearing* *black* walking down the street.,"white,red,wearing,and,people,only","people,black,wearing"
A woman is painting a mural of a woman's face.,There is a man tying his shoes.,2,A woman and a man are two different genders.,The woman and man are different people.,The subject is either a man or woman.,,,,,,,A *woman* is painting a mural of a woman's face.,There is a *man* tying his shoes.,A *woman* is painting a mural of a woman's face.,There is a *man* tying his shoes.,A *woman* is painting a mural of a woman's face.,There is a *man* tying his shoes.,woman,man
A couple is eating outside at a table and he is pointing at something.,A couple is eating inside at a table and he is pointing at something.,2,Outside is outdoors while inside is indoors.,The couple cannot be eating inside and outside at the same time.,either one can eat inside or outside only.,,,,,,,A couple is eating *outside* at a table and he is pointing at something.,A couple is eating *inside* at a table and he is pointing at something.,A couple is eating *outside* at a table and he is pointing at something.,A couple is eating *inside* at a table and he is pointing at something.,A couple is eating *outside* at a table and he is pointing at something.,A couple is eating *inside* at a table and he is pointing at something.,outside,inside
